googl,,,,aapl,,,,adbe,,,,Meta,,,,msft,,,,5000       SIMULATIONS      RETURNS        OF      THE       STOCKS,,,,
Date,Price,returns,,Date,Price,returns,,Date,Price,returns,,Date,Price,returns,,Date,Price,returns,,GOOGL,AAPL,ADBE,META,MSFT
,,,,,,,,,,,,,,,,,,,,-0.636775678313954%,-2.17752911830517%,0.588522586083399%,-2.19695001390978%,-1.48554911813566%
,,,,,,,,,,,,,,,,,,,,-1.10627994986594%,0.187091714745564%,0.51352393311594%,-1.82510787774018%,0.690596984343423%
,,,,,,,,,,,,,,,,,,,,-0.315484640596705%,2.52366051366005%,0.565094620431586%,1.39329836261235%,0.414994635112395%
,,,,,,,,,,,,,,,,,,,,-0.367235714011818%,0.224866601838458%,1.24708134871327%,3.18114475266562%,0.280399170944815%
,,,,,,,,,,,,,,,,,,,,1.44586260092708%,0.338613578623657%,-1.45187195255481%,1.18676872694855%,0.0656011363933891%
,,,,,,,,,,,,,,,,,,,,0.528371167583855%,1.86680016296387%,-0.0557676531132208%,1.7856498647748%,0.799279292341578%
,,,,,,,,,,,,,,,,,,,,-0.41467263833595%,0.251598756368722%,1.81504329059685%,-1.38916675985137%,-2.46245699927524%
,,,,,,,,,,,,,,,,,,,,0.643016667289774%,-0.42075871989057%,1.94203656182972%,1.98810799772221%,2.85145300618386%
,,,,,,,,,,,,,,,,,,,,-0.221817334950892%,-1.12574817130426%,-1.38644414817026%,-2.03329259687361%,-0.363148890981751%
,,,,,,,,,,,,,,,,,,,,-0.920845306941567%,-0.0236260270671538%,-2.5047644343614%,-2.89585901334945%,-1.25126322765785%
,,,,,,,,,,,,,,,,,,,,-2.38578179290949%,-0.00692529492720478%,-1.7088612270754%,-1.0884522158093%,0.553396992115917%
,,,,,,,,,,,,,,,,,,,,3.32520162902628%,1.31922271615488%,2.73484219643342%,-0.77139148850352%,-1.58632230991722%
,,,,,,,,,,,,,,,,,,,,0.139218264987686%,-0.502620963153127%,0.579565416524716%,-1.61718911859509%,-0.152167880728486%
,,,,,,,,,,,,,,,,,,,,2.31418868284347%,-1.82696695247846%,-1.54539259195141%,1.4543462909421%,0.325714483903099%
,,,,,,,,,,,,,,,,,,,,3.06370708388799%,1.43420472486635%,0.833922639688343%,-2.67232501634051%,-0.922269708042395%
,,,,,,,,,,,,,,,,,,,,0.471234769359382%,1.18745795298927%,-2.02751511697802%,-2.05040951681332%,1.16258028804261%
,,,,,,,,,,,,,,,,,,,,-0.736051902122952%,1.07879270837938%,1.11316745396482%,1.64545049026483%,1.57749932289595%
,,,,,,,,,,,,,,,,,,,,0.892809976792135%,-0.410698181163902%,0.817762708432178%,2.32638580418782%,-1.62789658429173%
,,,,,,,,,,,,,,,,,,,,2.33091062899291%,1.81234546980558%,4.04647959631766%,1.05088552680454%,0.383357261348639%
,,,,,,,,,,,,,,,,,,,,-3.3631353699674%,0.16698865907613%,-1.09750220069083%,-1.01505824458042%,0.829560743697051%
,,,,,,,,,,,,,,,,,,,,3.32295504355234%,-2.64213441232768%,-5.05737682681254%,-0.369911979763461%,-0.0292538838701099%
,,,,,,,,,,,,,,,,,,,,0.393683369110738%,-0.230757234884661%,3.66548789700695%,5.05693082516404%,-1.1735586981%
,,,,,,,,,,,,,,,,,,,,2.12200767733894%,-0.893589592347572%,1.88921946235706%,-0.691462033519729%,2.17286189844856%
,,,,,,,,,,,,,,,,,,,,-2.38617600819871%,-0.306348877572771%,-0.202136016044392%,-0.710492432043675%,-0.50214272309548%
,,,,,,,,,,,,,,,,,,,,2.6880961223295%,-0.850727540945318%,1.97463940616093%,-3.69324406753951%,-1.72152409050541%
,,,,,,,,,,,,,,,,,,,,2.69033188360329%,-3.53591190274836%,2.62268539033116%,-2.98999165173165%,-1.43725619537244%
,,,,,,,,,,,,,,,,,,,,2.29260214962809%,1.48027014000861%,0.235557479051899%,-2.24912510849855%,0.512341599940545%
,,,,,,,,,,,,,,,,,,,,0.797434797758007%,1.71029936693195%,4.67316926353801%,-0.29537026810398%,-1.67304615173708%
,,,,,,,,,,,,,,,,,,,,-0.146143285237491%,1.83756552486158%,0.345321491171989%,-1.36761102135975%,-1.66192347748241%
,,,,,,,,,,,,,,,,,,,,0.174817236344401%,3.27981501156965%,-1.31540969992199%,-1.74000945549011%,0.650456351553335%
,,,,,,,,,,,,,,,,,,,,0.788350311030241%,0.918223059669974%,3.70722835255016%,-2.71384400404159%,0.743071150695399%
,,,,,,,,,,,,,,,,,,,,3.16835969326717%,-0.240167789794097%,2.90585580352313%,1.32926723239533%,1.19249585133918%
,,,,,,,,,,,,,,,,,,,,2.15529431229306%,2.38322336078913%,1.42576442314348%,2.89430783919193%,0.421227678448436%
,,,,,,,,,,,,,,,,,,,,-0.324650438041504%,2.07394557697076%,-2.46118710936149%,1.07751179171667%,1.89019665695887%
,,,,,,,,,,,,,,,,,,,,0.921638657282469%,1.03947111389659%,0.63386578762563%,-0.228736940031273%,0.741364901926602%
,,,,,,,,,,,,,,,,,,,,0.0561984828513227%,2.11960399413062%,0.567403853493458%,-3.38885629999541%,2.64566786811041%
,,,,,,,,,,,,,,,,,,,,-1.95433085501853%,1.58387167209864%,-0.3431446231756%,-1.3833410348143%,-1.50848133678021%
,,,,,,,,,,,,,,,,,,,,2.08882030284015%,-3.06005329600541%,0.84955940261876%,-2.72191911865785%,-0.785649785233734%
,,,,,,,,,,,,,,,,,,,,-1.74994577512086%,3.16466820448415%,3.24998239406965%,0.710776282050394%,0.508119487643968%
,,,,,,,,,,,,,,,,,,,,1.76671645323994%,-1.77559631426788%,0.549835205203756%,0.77046270816481%,-0.422100361317379%
,,,,,,,,,,,,,,,,,,,,0.436787155838518%,3.19359268273359%,1.68101108154484%,-1.84959133703569%,-1.25766479389411%
,,,,,,,,,,,,,,,,,,,,-0.0163893306324121%,-4.07987215220697%,0.302871439468386%,0.188516867410616%,0.522806726277159%
,,,,,,,,,,,,,,,,,,,,-0.852697891577437%,0.861577728498462%,1.0828326583206%,2.39283544748739%,-2.99115151715466%
,,,,,,,,,,,,,,,,,,,,2.49800535112403%,-0.128829469503645%,5.0973506219409%,-1.92735116558051%,1.24249398607221%
,,,,,,,,,,,,,,,,,,,,-0.242649627611236%,1.38991561482656%,1.09820247532658%,4.29589799910075%,-1.73227520369539%
,,,,,,,,,,,,,,,,,,,,2.05957950284357%,-0.532419533977407%,3.6593103479334%,-2.9938014807778%,0.0435092300505476%
,,,,,,,,,,,,,,,,,,,,-0.531881457994777%,4.07342254726568%,4.06717895737129%,0.292480360204653%,0.00751227061756897%
,,,,,,,,,,,,,,,,,,,,-0.244867799956458%,0.124030696764744%,-0.986322966634522%,-0.627282694355271%,0.527073766243226%
,,,,,,,,,,,,,,,,,,,,3.67356287998664%,-0.84300673919882%,-0.769096756248396%,6.28670352543087%,-0.657990483586599%
,,,,,,,,,,,,,,,,,,,,-0.393366799282851%,-1.18775417296466%,-0.820496261564485%,-3.84785943260235%,-0.994550837118584%
,,,,,,,,,,,,,,,,,,,,-0.982553060317713%,2.12260454780627%,-0.688314072934143%,-0.462472982508803%,-1.41978721353285%
,,,,,,,,,,,,,,,,,,,,-2.47399498706881%,-1.26033516589268%,-3.36168900779147%,0.689636719992686%,-0.306610296245791%
,,,,,,,,,,,,,,,,,,,,-2.52299796356395%,-2.42161878768335%,0.212876184412646%,-2.44438743904808%,0.665585902775568%
,,,,,,,,,,,,,,,,,,,,-0.437689165249157%,-1.60296615449673%,-0.890860517304503%,-0.317211082977298%,-0.383421344262275%
,,,,,,,,,,,,,,,,,,,,0.259635483018002%,-0.311265966906716%,2.20246450495564%,0.625909890088563%,1.88448797890862%
,,,,,,,,,,,,,,,,,,,,-1.38953583222985%,-1.50002653804315%,2.26906211583405%,1.40048455738143%,1.40241017923852%
,,,,,,,,,,,,,,,,,,,,1.26065768508631%,-0.191272593721189%,0.106642794187355%,-1.89260316478833%,-0.62549820743785%
,,,,,,,,,,,,,,,,,,,,1.41590895328088%,-0.67004111863455%,3.50104718230818%,-1.99368606403712%,-0.00601237214047342%
,,,,,,,,,,,,,,,,,,,,0.201437096425626%,0.929466554705665%,2.09374421015236%,-3.3752797121092%,2.01053997660146%
,,,,,,,,,,,,,,,,,,,,0.270571238836592%,-1.14703207246804%,1.06442154184334%,3.45861661198816%,-0.358067733702767%
,,,,,,,,,,,,,,,,,,,,-1.90138466204447%,-2.53623692944467%,0.450457697881512%,-2.34106106329924%,-1.01958851619741%
,,,,,,,,,,,,,,,,,,,,2.66878678311174%,-0.0582322752502826%,-5.27007074930405%,0.385189082759954%,0.974633554655529%
,,,,,,,,,,,,,,,,,,,,-1.56600843868177%,0.815218509523304%,3.07991586172983%,-4.01166900051956%,0.716659658866886%
,,,,,,,,,,,,,,,,,,,,2.00850342737507%,0.0336256124572226%,2.85269352606872%,2.21843230052897%,-2.25696425253057%
,,,,,,,,,,,,,,,,,,,,-0.616869675220085%,-0.507047275189125%,1.17239787650142%,-0.939474412585722%,0.254690922512769%
,,,,,,,,,,,,,,,,,,,,-2.03215806255768%,1.7493640015166%,-0.503634740325961%,-1.81001575413978%,-2.03469801320444%
,,,,,,,,,,,,,,,,,,,,0.603197774525557%,0.846525144507546%,2.88842490997334%,-1.3311905264847%,0.6060477683374%
,,,,,,,,,,,,,,,,,,,,-3.32727810048659%,-3.79583466764078%,2.63884435309273%,-1.017967731153%,-0.320407860844333%
,,,,,,,,,,,,,,,,,,,,-0.391463426375689%,0.369053175081911%,1.09630560910636%,0.555611300502963%,0.771042546197958%
,,,,,,,,,,,,,,,,,,,,-2.31770963452526%,0.229544874391913%,3.51762241768416%,1.56766787103783%,-0.833406167052639%
,,,,,,,,,,,,,,,,,,,,-1.32803611364538%,0.303445016402725%,0.391600462433149%,3.19418893609553%,0.466235166782896%
,,,,,,,,,,,,,,,,,,,,-0.816131714379318%,0.290548053629546%,-0.691505244713753%,-0.616832944231332%,0.176490006763131%
,,,,,,,,,,,,,,,,,,,,-0.423400041153501%,1.42456511965856%,1.55568535856346%,-1.10931047578127%,-2.50149274387635%
,,,,,,,,,,,,,,,,,,,,-2.50814191491615%,-1.15607789864075%,-1.58561026051159%,0.340846270328576%,-1.50025723802297%
,,,,,,,,,,,,,,,,,,,,2.92712579884032%,0.864252681831847%,2.91555269947412%,-4.20106205412232%,1.9177065651384%
,,,,,,,,,,,,,,,,,,,,4.23892789284724%,-2.11075100109231%,1.2643859079148%,3.59730974934447%,-1.89729534159456%
,,,,,,,,,,,,,,,,,,,,-1.63785521941698%,0.994140333435119%,0.734024464854307%,0.745338418204999%,-0.293921008985291%
,,,,,,,,,,,,,,,,,,,,1.47947784316227%,1.33962865420198%,0.506620344277297%,1.59216317821058%,0.0914816068964667%
,,,,,,,,,,,,,,,,,,,,-1.19815072212402%,1.39219783901165%,-2.0134361511798%,2.79132540100838%,-0.587311149779019%
,,,,,,,,,,,,,,,,,,,,4.79732586324471%,0.194158563856431%,-1.9641203285706%,-0.00990741135311824%,-0.0343920591946665%
,,,,,,,,,,,,,,,,,,,,1.27671016048097%,0.701526258006164%,-2.12080326607622%,-2.13435972093111%,0.26064982129432%
,,,,,,,,,,,,,,,,,,,,-0.646024515779927%,-0.898577970800715%,0.674229564077257%,3.36993894082119%,-0.351475090982479%
,,,,,,,,,,,,,,,,,,,,1.05595371972488%,2.09426822881208%,-1.96028229907691%,-4.67479027281141%,-1.27534074591505%
,,,,,,,,,,,,,,,,,,,,2.12096311825337%,0.592969803919038%,-4.35587191464582%,-3.93874194733681%,-0.885928063008086%
,,,,,,,,,,,,,,,,,,,,-0.600156109226055%,1.06938950140493%,-2.04066801399834%,-1.26379551375896%,-0.116783433009665%
,,,,,,,,,,,,,,,,,,,,0.265531962501655%,0.677801521153907%,-0.391020839291031%,-0.855089611706963%,3.13268456063197%
,,,,,,,,,,,,,,,,,,,,0.0407909916801094%,-0.910522501451306%,3.10145561263668%,1.68402434012005%,0.157262173926824%
,,,,,,,,,,,,,,,,,,,,-0.87913966221139%,-0.0097848423583638%,-1.39317354818048%,3.31319640776682%,-1.68932974643617%
,,,,,,,,,,,,,,,,,,,,-0.485616462121376%,1.81919741602519%,-2.52046886374671%,-0.153989894319559%,-0.391400341170825%
,,,,,,,,,,,,,,,,,,,,0.764327388224057%,1.60658892282949%,-0.783738718188278%,2.60145776467838%,-0.138882157441757%
,,,,,,,,,,,,,,,,,,,,2.50225026282471%,2.54752216704869%,-0.12251445391606%,-1.31963210769643%,-1.528862382467%
,,,,,,,,,,,,,,,,,,,,0.262147989357663%,-0.483117546246567%,-1.49168241581267%,1.18032105922713%,0.479578601792407%
,,,,,,,,,,,,,,,,,,,,1.3536308354653%,2.47582833676741%,0.49746490924144%,-2.61108050556236%,2.41538830384957%
,,,,,,,,,,,,,,,,,,,,0.906498840555095%,0.14848073676053%,2.92478667863099%,0.770976396409187%,-0.0528236831291874%
,,,,,,,,,,,,,,,,,,,,0.803909320982472%,0.206540095668123%,0.599492501864128%,-2.02108296777611%,2.04036164436536%
,,,,,,,,,,,,,,,,,,,,0.374035997006231%,0.226198604021659%,-0.266321526235242%,-1.98665528216765%,-0.709693781009435%
,,,,,,,,,,,,,,,,,,,,2.04636648434956%,-0.578558685224784%,-0.967678027075804%,-1.88462447310064%,-1.88995900102045%
,,,,,,,,,,,,,,,,,,,,-0.998256637126463%,0.62941868818856%,1.73354494167267%,3.2923172047208%,-0.766086756870175%
,,,,,,,,,,,,,,,,,,,,3.46182457473588%,-0.404283381686448%,-3.80032338018394%,-2.27176364655321%,-0.264366099374402%
,,,,,,,,,,,,,,,,,,,,1.47863353441354%,0.050872142720936%,-1.65830557037147%,-0.766675047119484%,-2.61185744081789%
,,,,,,,,,,,,,,,,,,,,0.901570956283492%,0.736032787142594%,-2.71531106116921%,1.42275938278619%,0.0985769490571208%
,,,,,,,,,,,,,,,,,,,,-1.04153586844123%,-1.13793064589521%,-2.57768956091543%,-2.55945257235342%,-1.11950220948845%
,,,,,,,,,,,,,,,,,,,,-0.0902686136115069%,-0.3883950332104%,-2.17455161239898%,1.47928168010803%,2.45345767509893%
,,,,,,,,,,,,,,,,,,,,1.62958527181213%,-1.6728518122757%,-0.0745395711178894%,-2.33008860684131%,1.80877867499176%
,,,,,,,,,,,,,,,,,,,,1.51601654027401%,-1.14045690003054%,0.105354560103573%,-2.11291940806896%,-0.181740242244322%
,,,,,,,,,,,,,,,,,,,,-0.623180951422632%,-0.0642235922883436%,1.51017762951385%,0.121269959197968%,2.97923134053245%
,,,,,,,,,,,,,,,,,,,,1.48217224110989%,-2.64883493321731%,1.33503576515103%,2.82917761915604%,-1.11927982550519%
,,,,,,,,,,,,,,,,,,,,1.0421659915555%,-1.42502663241844%,-0.425907447458793%,0.508769326862496%,0.288975989474368%
,,,,,,,,,,,,,,,,,,,,2.30993932465571%,2.17755160388699%,0.291621884182708%,0.833147041117159%,1.38529922490542%
,,,,,,,,,,,,,,,,,,,,-1.21057692849367%,-0.0802027265161355%,-3.3234710479926%,-4.33539582535532%,-0.655041376146704%
,,,,,,,,,,,,,,,,,,,,0.994894424224809%,-0.050135136275678%,-1.08317283040153%,0.273569411646835%,-0.908462742929844%
,,,,,,,,,,,,,,,,,,,,0.168736020436957%,0.312937526144845%,-0.900418135420623%,0.512296024954045%,1.70880087656279%
,,,,,,,,,,,,,,,,,,,,0.252858301138821%,0.572651525949023%,2.53574612211428%,-1.91371167910016%,0.775725569256786%
,,,,,,,,,,,,,,,,,,,,-0.416549663097946%,3.3713313584522%,-4.50281423820744%,3.55509785917227%,-0.0151578044554103%
,,,,,,,,,,,,,,,,,,,,-2.77947388354864%,3.13735484315845%,-0.497701872194638%,-0.250740669273181%,0.888816577630653%
,,,,,,,,,,,,,,,,,,,,-1.14067228023142%,-0.448541599383994%,-2.68673871370176%,-1.2561056909625%,0.582957118178692%
,,,,,,,,,,,,,,,,,,,,2.97317223052989%,0.503992334325963%,4.14702053843926%,1.28001240226593%,0.654345234008179%
,,,,,,,,,,,,,,,,,,,,0.194719704824403%,-0.538755526132255%,2.00816154288911%,2.8882242367067%,-0.526952160692614%
,,,,,,,,,,,,,,,,,,,,-0.243528280899118%,-0.00420996727371853%,0.0109483138645486%,-1.87628894545975%,-0.117434985714315%
,,,,,,,,,,,,,,,,,,,,-1.16262329795847%,2.28339632065265%,-1.71906966843024%,-1.37542751134927%,-1.22951371856495%
,,,,,,,,,,,,,,,,,,,,-1.18748446500768%,2.37570403335001%,1.89917587397586%,-1.76984338758368%,1.04588837550769%
,,,,,,,,,,,,,,,,,,,,2.39022516470598%,2.73039525418839%,-3.52905932053331%,-1.10392177364653%,0.225337477188352%
,,,,,,,,,,,,,,,,,,,,1.41483402710799%,0.256266544994584%,0.971787059275304%,1.31683316630959%,0.671643931517225%
,,,,,,,,,,,,,,,,,,,,2.3837082233712%,1.66456920689724%,-3.04010729000744%,0.835202050484733%,0.270823676936452%
,,,,,,,,,,,,,,,,,,,,-0.718408830101829%,2.75425919643419%,-2.24214369435236%,0.2389350325443%,-2.17782228835412%
,,,,,,,,,,,,,,,,,,,,2.3146310515806%,1.70663016524679%,-2.08421021335637%,1.44218059591436%,-1.45008750690822%
,,,,,,,,,,,,,,,,,,,,0.542817336094538%,-1.26678232917387%,-0.148300792742683%,-1.19262012506189%,0.732611542092042%
,,,,,,,,,,,,,,,,,,,,0.779136763624418%,1.60950721095365%,-2.21106919361691%,-1.40403410984834%,-0.485137315323227%
,,,,,,,,,,,,,,,,,,,,-0.968761714201714%,1.40841860147737%,0.863645891497827%,2.67508659379737%,-1.23250508949155%
,,,,,,,,,,,,,,,,,,,,2.42582160206698%,-0.0517343204711189%,1.97238812910218%,-0.717794392781112%,-0.661763901012592%
,,,,,,,,,,,,,,,,,,,,-1.49421584361156%,-1.40001635879164%,-0.731691174938697%,1.19032712927058%,0.920694859363162%
,,,,,,,,,,,,,,,,,,,,-3.57039160285222%,0.6329798788904%,1.13925096666333%,0.0043879377237719%,0.933004911010678%
,,,,,,,,,,,,,,,,,,,,-0.42842893470661%,-0.794817193075804%,1.08263399743835%,2.20112909250012%,0.0954463318876078%
,,,,,,,,,,,,,,,,,,,,2.31482902198747%,0.744320084196852%,1.48662026697686%,1.5843941295908%,1.42491367828722%
,,,,,,,,,,,,,,,,,,,,1.73072665014483%,-0.757401832114713%,-1.99405380252055%,3.09650306615491%,-1.92480373683122%
,,,,,,,,,,,,,,,,,,,,1.08262698779587%,1.55142981993011%,0.579595673742803%,-0.97716367494533%,1.91640725914802%
,,,,,,,,,,,,,,,,,,,,-0.106193498415903%,-1.79199755758709%,1.21667396217199%,-0.212350402295277%,0.1915390889105%
,,,,,,,,,,,,,,,,,,,,-0.934759226656333%,2.41069963683957%,-1.43625058188289%,0.969015369238433%,1.34360585991896%
,,,,,,,,,,,,,,,,,,,,-0.620412893361681%,2.3964626177322%,0.590673126321896%,-1.10233674580566%,2.37955152015763%
,,,,,,,,,,,,,,,,,,,,0.888216459552084%,1.58211104796493%,-2.61543507521474%,1.8456042549116%,1.17741974181122%
,,,,,,,,,,,,,,,,,,,,-2.15999089876309%,-0.134959710344931%,-0.426676121481453%,-2.09495581774093%,-1.28120893344721%
,,,,,,,,,,,,,,,,,,,,1.28137471960362%,-0.504722426895476%,0.685914232075477%,1.08547335989729%,-0.0274309942772637%
,,,,,,,,,,,,,,,,,,,,0.230584089744966%,1.71506624624243%,1.56611958648071%,0.668942630730888%,0.238016589800498%
,,,,,,,,,,,,,,,,,,,,2.62939399211024%,-2.00522079317488%,1.97566684251797%,-0.663202503980694%,-0.225935363027569%
,,,,,,,,,,,,,,,,,,,,-2.76880377755032%,-3.09078320076311%,1.25384422753678%,-1.44811163210345%,-0.374578554345351%
,,,,,,,,,,,,,,,,,,,,-2.4398896472525%,0.924345420385432%,3.56114217295474%,2.35351798626707%,1.68214842007997%
,,,,,,,,,,,,,,,,,,,,-1.53709710546765%,0.337007808174201%,1.98786634844217%,0.0328382016074978%,-0.76904925362542%
,,,,,,,,,,,,,,,,,,,,-1.85928008737289%,-0.334065044217717%,0.608050520107518%,-0.384932300209844%,0.9277975976678%
,,,,,,,,,,,,,,,,,,,,1.67002714648855%,1.82706028468743%,0.409994358058677%,-2.52756807232057%,-0.523287628599094%
,,,,,,,,,,,,,,,,,,,,1.34034821116876%,1.8071168675511%,-0.972113886242821%,4.80481240018351%,-0.172550367090471%
,,,,,,,,,,,,,,,,,,,,0.295703615447227%,0.0396990579422535%,2.04604127025148%,1.15670963702952%,0.655020346546828%
,,,,,,,,,,,,,,,,,,,,-1.20073659784208%,-1.58217774989959%,3.48609760480453%,-3.89341055504884%,0.685350402944828%
,,,,,,,,,,,,,,,,,,,,-3.25381687660109%,-1.70539559416005%,4.1435468996539%,-0.926223613204442%,0.491300036309746%
,,,,,,,,,,,,,,,,,,,,1.0925688770987%,0.1835144578044%,0.591482714138895%,-1.23747589228487%,-1.06383147842684%
,,,,,,,,,,,,,,,,,,,,-1.28548966533735%,0.875493965506004%,-1.05679507867689%,0.943797615470538%,0.0998258317629647%
,,,,,,,,,,,,,,,,,,,,0.409929149955843%,1.3180595897999%,1.81259317203755%,-3.32889685175641%,-1.44921355338416%
,,,,,,,,,,,,,,,,,,,,-1.2617231742547%,0.70265661371472%,-1.53556218772324%,0.146682955079796%,0.599327528829826%
,,,,,,,,,,,,,,,,,,,,0.829176306545714%,0.179176238055335%,-1.07110547905133%,-2.38889109088313%,0.724329829697197%
,,,,,,,,,,,,,,,,,,,,-0.124999371357569%,0.718250583814025%,0.52619213191829%,0.516503838051763%,0.834207204109532%
,,,,,,,,,,,,,,,,,,,,1.09261271210704%,-0.152940938206597%,0.46760128184777%,-0.794726079917981%,0.62909646364619%
,,,,,,,,,,,,,,,,,,,,-0.996225081298001%,-1.40860991704128%,0.255955621613299%,0.00791088234922062%,0.148124405881778%
,,,,,,,,,,,,,,,,,,,,3.46048231962586%,-0.363378431057001%,3.82350417370236%,-3.58860127215607%,0.915884448963997%
,,,,,,,,,,,,,,,,,,,,1.39619913740485%,3.15567013171395%,-4.54409827397893%,-0.0773678427533375%,-0.38404933053178%
,,,,,,,,,,,,,,,,,,,,-0.871030123501871%,1.23859239105701%,0.375291584410585%,-0.779220591541962%,1.1128802878365%
,,,,,,,,,,,,,,,,,,,,-0.863556037616892%,3.34186382577071%,-3.61223113565832%,3.18401868293413%,0.571478870835259%
,,,,,,,,,,,,,,,,,,,,-2.7718940266696%,2.59002571471546%,-0.427814798069286%,-3.00261335208008%,0.451077170239696%
,,,,,,,,,,,,,,,,,,,,1.65157311076092%,-1.44385993607292%,0.346003340204644%,-1.09973155871753%,2.56174168166845%
,,,,,,,,,,,,,,,,,,,,-0.908996497632645%,-2.16404744570415%,0.547527529768046%,-0.961055565903708%,0.285842276388057%
,,,,,,,,,,,,,,,,,,,,1.23447621913755%,1.41137837007934%,1.04642078735594%,0.942545533495838%,0.017474930437962%
,,,,,,,,,,,,,,,,,,,,-2.02841708063651%,-1.51478018429148%,-3.20716797411349%,-0.304116616329676%,-1.08125729011206%
,,,,,,,,,,,,,,,,,,,,3.86369386936559%,-2.45155556426703%,1.87072017385143%,-4.46416680155247%,-0.401917036474087%
,,,,,,,,,,,,,,,,,,,,-1.59609913707626%,2.66352534330232%,1.03924641464234%,-1.14432643438942%,-0.82999519905159%
,,,,,,,,,,,,,,,,,,,,-1.2152346247884%,-0.28344084185979%,-2.77650611470509%,2.24897775417876%,-0.721451602249364%
,,,,,,,,,,,,,,,,,,,,2.55586630187277%,1.40038600583245%,-0.89308189210155%,-1.77287814133453%,0.987277979745392%
,,,,,,,,,,,,,,,,,,,,3.29546532077516%,-0.661124324749004%,1.05182383430125%,2.57376585852214%,0.655608485573012%
,,,,,,,,,,,,,,,,,,,,-0.999542855833708%,-1.26291638931503%,2.7364324619845%,0.920990567078084%,-1.2754695395146%
,,,,,,,,,,,,,,,,,,,,2.73927865336462%,0.807722745912754%,3.297127121939%,-3.13821243530798%,0.903753145321674%
,,,,,,,,,,,,,,,,,,,,-1.91037020389625%,0.810697317564324%,-3.18387139513485%,-0.722091065270505%,-1.58053706222024%
,,,,,,,,,,,,,,,,,,,,-3.13216180533689%,0.709985353631134%,0.293543306542491%,3.3570569079397%,1.73971134105946%
,,,,,,,,,,,,,,,,,,,,0.443779151392398%,-0.10326224550408%,1.02977392043764%,-0.67554068894332%,0.328575820642918%
,,,,,,,,,,,,,,,,,,,,-2.20344546011074%,0.662989242358125%,-0.667357973368171%,2.30887127868337%,1.75285794087419%
,,,,,,,,,,,,,,,,,,,,1.6813865720468%,0.895855914083707%,-2.01849348102709%,-0.251012747142906%,0.153795344624491%
,,,,,,,,,,,,,,,,,,,,0.57746606771628%,1.06548107155242%,-1.85191177913444%,-4.2024987235472%,-1.69084772779649%
,,,,,,,,,,,,,,,,,,,,-2.94436807052664%,-3.77203203883494%,-0.910247215983285%,-0.122353646847117%,-0.221706176922134%
,,,,,,,,,,,,,,,,,,,,-1.81798863926541%,-1.70213671003417%,-2.73049902801321%,1.09422064716117%,-0.474725026186794%
,,,,,,,,,,,,,,,,,,,,2.26381702289783%,0.388964568096663%,-0.921087849734994%,-1.33515869327388%,-0.124531510964498%
,,,,,,,,,,,,,,,,,,,,3.21936658577261%,-0.312390077376576%,0.937470874956321%,1.6792476132391%,0.530222824953403%
,,,,,,,,,,,,,,,,,,,,-2.09810228480253%,1.33304710185059%,1.57463778927628%,0.701810172070619%,-1.5595580790282%
,,,,,,,,,,,,,,,,,,,,2.69531487593051%,-2.00261846725081%,1.27293911722145%,-0.889671801311588%,-0.200187100035431%
,,,,,,,,,,,,,,,,,,,,1.27305331702663%,-1.51724247775533%,-2.71421464818667%,-0.00642121104844935%,1.80940709881458%
,,,,,,,,,,,,,,,,,,,,-0.472538208887986%,-2.45591605166856%,-0.807187999021406%,-1.95082075316525%,-0.653019442523959%
,,,,,,,,,,,,,,,,,,,,0.124364039497361%,0.044687623752819%,3.50073786918135%,-2.73190837347021%,-1.44547911089312%
,,,,,,,,,,,,,,,,,,,,-0.81253190803617%,2.16010713140254%,-0.154702203032688%,0.720051484338069%,1.20389961532872%
,,,,,,,,,,,,,,,,,,,,4.12659407704429%,2.02392544484142%,2.25556901628495%,-3.099070051825%,-1.71432946957151%
,,,,,,,,,,,,,,,,,,,,-1.67642690383573%,-0.43772783511843%,3.35911986839644%,4.73086473044971%,0.654671627720482%
,,,,,,,,,,,,,,,,,,,,-0.923200283865403%,-0.480887023287602%,3.38817609566211%,2.1889370012042%,-0.651126770915834%
,,,,,,,,,,,,,,,,,,,,2.93751854370185%,1.13371618204014%,-0.0965188394920523%,-2.04646745186744%,-1.08192643939366%
,,,,,,,,,,,,,,,,,,,,2.87199078120228%,1.3692272031764%,-1.93968481285746%,0.068310217488938%,-0.122848363039422%
,,,,,,,,,,,,,,,,,,,,-1.15580993917862%,-0.833053147587006%,0.0254582620076791%,2.24218032296266%,0.395420286404699%
,,,,,,,,,,,,,,,,,,,,1.75920360453933%,3.36074682876589%,0.216834731005411%,-0.69285533916145%,-2.69844643213576%
,,,,,,,,,,,,,,,,,,,,-0.225449274419882%,2.48422943035637%,1.59151317605243%,0.958461719388881%,-0.275435449406683%
,,,,,,,,,,,,,,,,,,,,-0.714973498952354%,2.166004498812%,3.30316535126816%,3.76630059304875%,-1.31574762060398%
,,,,,,,,,,,,,,,,,,,,0.259651794730098%,5.40785763903539%,4.49765240475216%,2.15405392223092%,0.714151148510054%
,,,,,,,,,,,,,,,,,,,,0.778328414944497%,-2.57939416611563%,-3.12553281417796%,-2.31159530177937%,-0.544195543622382%
,,,,,,,,,,,,,,,,,,,,0.603464735253247%,2.21290073983245%,1.90403807035931%,0.604581157248606%,1.0436495288824%
